"구분별(1)",구분별(2),2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"구분별(1)",구분별(2),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),네이버 TV(구 네이버NOW) (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),라프텔 (%),스포티비 나우 (%),네이버 치지직 (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),틱톡(틱톡 라이브 구독) (%),펄스픽 (%),드라마박스 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),네이버 TV(구 네이버NOW) (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),네이버 시리즈온 (동영상 시청에 한함) (%),카카오페이지 (동영상 시청에 한함) (%),라프텔 (%),스포티비 나우 (%),네이버 치지직 (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),틱톡(틱톡 라이브 구독) (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),네이버 TV(구 네이버NOW) (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),카카오페이지 (동영상 시청에 한함) (%),라프텔 (%),스포티비 나우 (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),틱톡(틱톡 라이브 구독) (%),트위치 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),네이버 시리즈온 (동영상 시청에 한함) (%),카카오페이지 (동영상 시청에 한함) (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),트위치 (%),시즌 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),쿠팡플레이 (쿠팡와우 이용자만) (%),넷플릭스 (%),아마존프라임 (%),유튜브(유튜브 프리미엄 구독) (%),트위치 (%),시즌 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),넷플릭스 (%),유튜브(유튜브 프리미엄 구독) (%),시즌 (%),기타 (%),이중에 이용한적 없음 (%)
"직업",서비스/판매직,4.1,13.3,1.1,0.0,0.0,0.0,1.9,0.1,8.3,0.8,0.0,0.0,46.5,6.1,0.2,1.1,9.3,0.3,0.0,0.0,45.1,6.2,13.8,0.2,0.0,0.3,0.6,0.3,0.7,0.1,8.8,0.1,0.1,1.1,0.1,0.2,37.4,5.8,0.0,0.7,9.4,0.2,50.5,6.4,9.0,0.8,0.0,0.0,0.6,1.1,0.5,6.8,0.2,0.7,0.5,37.0,4.6,0.2,1.0,5.6,0.1,0.0,56.6,6.7,5.7,0.9,0.0,0.0,0.1,0.9,0.1,3.5,0.1,0.1,30.5,3.5,0.1,0.1,8.6,0.0,0.1,60.7,4.3,3.6,1.1,0.2,0.2,0.1,0.4,0.1,22.2,0.0,10.2,0.0,0.6,66.0,2.0,2.4,1.7,0.0,0.0,0.1,0.0,8.9,8.8,0.0,0.0,80.0
"직업",생산직,2.1,6.7,0.5,0.2,0.0,0.2,0.9,0.1,3.1,0.0,0.5,0.1,28.6,2.9,0.2,0.1,4.7,0.1,0.0,0.1,66.3,3.5,8.1,0.9,0.0,0.0,0.0,0.1,0.4,0.0,6.4,0.0,0.1,0.1,0.0,0.0,24.7,3.9,0.1,0.4,5.4,0.1,67.6,3.8,3.7,0.4,0.0,0.0,0.0,0.4,0.0,2.9,0.0,0.3,0.1,18.5,1.3,0.0,0.3,4.4,0.2,0.0,76.2,3.3,3.0,0.7,0.0,0.1,0.0,1.5,0.0,1.8,0.0,0.0,15.0,1.3,0.1,0.1,6.4,0.0,0.1,77.3,2.1,2.2,0.1,0.3,0.0,0.3,0.5,0.0,11.4,0.0,9.2,0.4,0.2,79.7,2.8,1.1,0.2,0.0,0.0,0.2,0.0,4.8,7.7,0.0,0.0,83.6
"직업",학생,3.0,25.6,1.8,0.0,1.1,0.0,1.2,1.7,9.4,3.6,0.6,0.5,65.6,7.7,0.6,1.7,15.1,2.5,0.3,0.1,20.7,5.3,26.5,0.4,0.0,0.3,0.1,0.6,4.3,0.0,8.3,0.0,0.1,5.8,0.2,0.6,44.9,5.2,0.7,0.7,13.0,1.3,35.2,6.8,13.5,1.6,0.0,0.7,0.4,2.3,0.1,8.9,0.1,1.7,2.3,58.9,7.5,0.3,0.5,11.3,0.2,0.7,24.9,8.7,13.4,0.2,0.0,0.3,0.2,2.6,0.0,7.5,0.4,0.2,53.5,3.7,0.0,0.7,8.5,0.0,0.2,35.0,5.5,6.6,1.8,0.0,0.3,1.0,3.1,0.7,35.4,0.0,16.9,0.8,0.2,47.7,0.6,0.8,2.9,0.0,0.0,1.2,0.1,15.6,8.6,1.6,0.0,74.1
"직업",주부,2.6,8.9,0.5,0.2,0.2,0.0,0.7,0.1,4.4,0.2,0.0,0.0,36.0,4.6,0.3,0.3,3.0,0.0,0.2,0.0,60.2,3.5,4.9,0.6,0.0,0.0,0.0,0.1,0.4,0.3,3.6,0.1,0.0,0.0,0.0,0.0,18.9,2.4,0.0,0.2,2.8,0.2,74.5,3.4,5.3,0.5,0.0,0.0,0.0,0.3,0.1,5.9,0.1,0.1,0.0,24.4,2.4,0.0,0.3,5.6,0.0,0.0,68.7,4.2,5.2,0.9,0.0,0.0,0.0,1.1,0.1,4.8,0.1,0.0,23.2,3.6,0.3,0.8,4.2,0.1,0.4,70.8,3.1,3.6,1.7,0.0,0.3,0.0,1.0,0.7,18.4,0.0,7.4,0.0,0.9,72.9,2.0,0.9,0.4,0.0,0.1,0.0,0.0,9.2,7.7,0.0,0.0,82.7
"직업",기타,3.3,24.7,0.0,0.0,0.0,0.0,0.0,0.0,23.6,3.3,0.0,0.0,83.8,7.5,0.0,4.2,6.9,0.0,0.0,0.0,16.2,0.0,10.8,0.0,0.0,0.0,0.0,0.0,5.8,0.0,10.3,0.0,0.0,0.0,0.0,0.0,47.2,0.0,0.0,0.0,24.8,0.0,33.7,7.9,14.4,3.8,0.0,0.0,0.0,4.6,0.0,4.9,0.0,0.0,0.0,15.1,2.3,1.5,0.0,10.2,0.0,0.0,66.8,24.8,18.0,0.0,0.0,0.0,0.0,9.7,0.0,10.3,9.7,0.0,30.0,9.7,0.0,0.0,14.7,0.0,5.8,60.5,10.9,17.2,1.4,0.0,0.0,0.0,2.9,0.0,37.7,0.0,9.3,0.0,0.0,51.7,0.0,0.0,0.0,0.0,0.0,0.0,9.9,13.6,9.9,0.0,0.0,86.4
"직업",무직,2.1,2.9,0.0,0.0,0.0,0.0,0.5,0.0,2.5,0.0,0.0,0.0,14.6,0.9,0.1,0.0,2.5,0.2,0.0,0.0,81.3,3.2,5.9,0.2,0.0,0.0,0.0,0.1,0.7,0.0,4.6,0.0,0.0,0.5,0.0,0.0,14.2,1.9,0.0,0.5,4.0,0.2,80.1,2.6,3.3,0.6,0.0,0.0,0.0,1.3,0.0,2.0,0.0,0.9,0.5,14.2,0.9,0.0,0.3,1.9,0.0,0.0,81.9,2.8,2.3,0.0,0.0,0.0,0.0,0.6,0.3,2.8,0.0,0.0,14.2,1.7,0.0,1.0,3.0,0.6,0.1,81.7,2.7,2.2,0.1,0.0,0.3,0.3,0.9,0.0,8.8,0.2,5.6,0.0,1.2,84.0,2.1,0.2,0.4,0.0,0.0,0.0,1.0,11.3,7.1,0.8,0.0,79.2
"가구소득",100만원 미만,0.1,6.5,0.0,0.0,0.0,0.0,0.2,0.0,2.6,1.2,0.5,0.0,16.5,0.8,0.0,0.6,3.2,0.0,0.0,0.0,80.2,3.8,9.0,0.0,0.0,0.2,0.0,0.0,2.0,0.0,4.2,0.0,0.2,0.5,0.0,0.2,13.9,1.5,0.0,0.0,9.1,0.0,79.6,2.7,5.3,0.0,0.0,0.0,0.2,0.3,0.0,1.5,0.1,0.8,0.5,10.6,1.2,0.0,0.0,3.0,0.0,0.1,84.3,3.1,2.2,0.0,0.0,0.0,0.0,0.6,0.0,1.3,0.0,0.0,12.3,3.8,0.0,0.2,1.9,0.0,0.0,85.1,2.3,1.2,1.4,0.0,0.1,0.1,0.1,0.0,7.2,0.0,4.4,0.0,0.7,87.2,0.0,0.3,1.2,0.0,0.0,0.0,2.4,11.3,12.0,0.0,0.0,77.2
"가구소득",100-199만원,1.7,6.3,0.0,0.0,0.1,0.0,1.3,0.0,2.6,0.0,0.3,0.0,16.1,3.1,0.1,0.0,5.1,0.0,0.0,0.0,78.9,4.2,7.9,0.4,0.0,0.0,1.4,0.2,0.8,0.0,3.7,0.0,0.0,1.9,0.0,0.0,8.9,3.7,0.0,0.4,4.0,0.0,83.5,1.3,1.8,0.7,0.0,0.0,0.0,0.3,0.0,2.6,0.0,0.6,0.6,13.8,0.6,0.3,0.6,5.0,0.1,0.0,81.0,2.0,2.3,0.0,0.0,0.0,0.2,1.2,0.0,1.7,0.0,0.0,11.9,2.9,0.0,0.1,3.2,0.6,0.0,84.2,3.9,3.2,1.2,0.0,0.0,0.5,0.1,0.2,12.4,0.0,8.0,0.4,0.1,81.7,2.8,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.8,0.0,0.0,80.9
"가구소득",200-299만원,4.7,10.8,0.4,0.0,0.2,0.0,1.7,1.6,5.4,0.4,0.0,0.0,38.3,5.0,0.2,0.9,10.5,0.4,0.0,0.0,54.3,6.9,13.8,0.4,0.0,0.0,0.0,0.3,1.0,0.0,9.4,0.2,0.1,1.8,0.3,0.2,30.2,3.5,0.0,0.5,9.6,1.3,55.9,6.3,9.1,0.5,0.0,0.1,0.2,1.4,0.0,5.4,0.0,0.7,0.4,31.6,3.5,0.0,0.9,6.4,0.2,0.0,59.8,4.8,7.6,1.0,0.0,0.0,0.0,1.8,0.2,5.5,0.1,0.1,21.9,2.6,0.0,0.4,8.3,0.0,0.1,68.0,4.1,5.0,1.7,0.0,0.2,0.0,1.5,0.3,24.8,0.0,12.4,0.3,1.3,64.2,2.4,1.2,1.1,0.0,0.0,0.6,0.0,9.3,8.4,0.4,0.0,81.3
"가구소득",300-399만원,5.1,14.6,1.0,0.2,0.3,0.0,1.9,0.0,7.9,1.1,0.2,0.0,47.5,5.5,0.4,0.2,13.1,0.2,0.1,0.0,44.0,9.1,17.7,0.5,0.2,0.1,0.0,0.1,2.6,0.0,10.1,0.0,0.2,0.9,0.2,0.6,39.3,5.3,0.4,1.4,11.7,0.4,46.5,4.3,13.1,1.1,0.1,0.0,0.5,2.0,0.4,8.3,0.2,0.3,1.2,35.6,6.3,0.0,0.4,5.6,0.0,0.0,54.4,6.8,11.1,1.1,0.0,0.1,0.1,2.2,0.3,5.3,0.5,0.0,32.5,4.4,0.7,1.1,6.5,0.1,0.6,57.6,3.7,3.8,1.2,0.5,0.0,0.2,1.2,0.5,24.6,0.0,11.7,0.1,0.4,64.1,1.7,1.5,1.4,0.1,0.0,0.6,0.0,10.7,6.4,0.8,0.0,80.6
"가구소득",400만원 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.8,8.9,1.1,0.1,0.2,0.3,2.1,0.1,6.5,0.4,0.1,42.5,3.8,0.0,0.7,8.8,0.0,0.7,47.5,5.5,5.5,1.0,0.3,0.3,0.7,2.1,0.2,30.1,0.1,10.5,0.2,0.6,56.9,2.8,2.0,1.1,0.0,0.3,0.0,0.4,12.9,8.6,0.4,0.1,75.8
"가구소득",400-499만원,5.1,13.3,1.5,0.1,0.1,0.1,1.2,0.0,9.0,1.0,0.1,0.1,51.5,4.0,0.1,1.0,8.2,0.9,0.2,0.1,41.3,6.5,15.6,1.0,0.0,0.2,0.2,0.2,1.2,0.3,9.9,0.0,0.1,1.8,0.0,0.4,42.1,6.1,0.2,0.2,10.0,0.1,45.7,5.3,8.4,0.7,0.0,0.5,0.0,1.6,0.0,5.7,0.1,0.2,0.0,38.2,2.4,0.4,0.4,4.2,0.0,0.3,53.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득",500-599만원,5.2,18.2,0.5,0.2,0.0,0.0,1.4,0.0,8.2,0.8,0.2,0.3,58.7,7.3,1.2,0.9,10.1,0.1,0.1,0.2,34.1,8.5,14.4,0.3,0.0,0.0,0.0,0.0,0.9,0.0,7.6,0.1,0.0,0.5,0.0,0.1,48.2,8.2,0.2,0.4,8.7,0.0,44.3,10.0,12.4,2.2,0.6,0.0,0.2,1.7,0.6,9.1,0.1,1.2,0.1,45.0,6.5,0.0,1.1,9.7,0.1,0.0,44.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득",600만원 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.8,18.5,0.6,0.0,0.2,0.0,0.4,1.3,0.1,9.7,0.0,0.0,0.7,0.1,0.3,48.0,7.3,0.0,0.7,8.0,0.1,40.0,7.9,9.3,1.3,0.2,0.0,0.0,1.3,0.0,7.5,0.0,0.4,0.4,51.7,4.1,0.2,1.0,9.8,0.2,0.1,40.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득",600-699만원,2.7,13.5,0.6,0.0,0.9,0.3,0.8,0.2,11.2,0.4,0.0,0.0,63.6,6.7,0.4,0.7,10.0,0.9,0.0,0.0,28.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득",700-799만원,2.7,8.3,1.6,0.0,0.0,0.0,1.3,0.0,4.3,0.0,0.0,0.0,59.9,5.6,0.5,2.7,10.6,1.8,0.0,0.0,36.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득",800만원 이상,5.0,22.7,4.2,0.0,0.0,0.0,3.3,0.0,9.4,2.6,0.2,0.0,71.6,8.0,0.8,1.0,12.4,0.0,0.2,0.0,22.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득",무응답,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,18.6,4.2,0.0,0.0,12.7,0.1,66.8,9.7,10.8,1.6,0.0,0.0,0.0,4.1,0.0,13.3,0.0,3.0,0.0,76.6,8.4,0.0,0.0,8.2,0.0,0.0,18.9,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,37.8,0.0,0.0,0.0,4.4,0.0,8.0,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,2.5,0.0,0.0,86.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0,13.3,7.9,3.8,0.0,78.8
"학력",중/고등학생,3.5,20.2,1.8,0.0,2.1,0.0,0.0,3.2,9.8,3.1,0.0,0.0,56.1,6.9,0.0,1.8,14.6,4.9,0.4,0.2,25.8,3.1,23.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.9,0.0,0.0,7.9,0.0,0.0,38.0,2.5,0.0,0.0,6.5,2.2,42.9,3.4,11.3,0.7,0.0,0.0,0.0,0.3,0.3,2.5,0.0,0.4,2.2,50.3,1.9,0.7,0.3,4.2,0.3,0.4,41.3,9.5,6.0,0.0,0.0,0.0,0.4,0.7,0.0,3.8,0.4,0.4,46.5,1.0,0.0,1.8,6.0,0.0,0.5,42.4,2.6,4.1,2.9,0.0,0.6,0.9,0.9,1.0,26.5,0.0,16.9,0.9,0.0,55.2,0.4,0.7,0.0,0.0,0.0,0.0,0.0,5.7,4.8,0.0,0.0,89.9
"학력",고졸이하,2.2,6.2,0.4,0.0,0.0,0.0,0.8,0.1,3.0,0.0,0.1,0.0,26.1,2.7,0.1,0.5,4.3,0.2,0.1,0.0,69.4,3.3,6.1,0.4,0.0,0.0,0.2,0.1,0.5,0.1,4.1,0.0,0.0,0.7,0.1,0.0,20.0,2.9,0.0,0.4,5.1,0.1,72.8,2.1,3.5,0.5,0.0,0.0,0.2,0.5,0.1,2.1,0.0,0.3,0.2,16.5,1.6,0.0,0.2,3.3,0.1,0.0,79.4,2.2,2.5,0.2,0.0,0.0,0.1,0.9,0.1,2.3,0.0,0.0,13.2,1.4,0.1,0.4,4.6,0.0,0.0,80.8,2.0,1.4,0.8,0.0,0.0,0.0,0.3,0.1,9.0,0.0,7.2,0.0,0.3,82.8,1.6,1.6,0.6,0.0,0.0,0.1,0.0,5.4,8.2,0.0,0.0,84.2
"학력",대졸이상,6.6,18.7,1.2,0.2,0.1,0.1,2.4,0.2,11.4,1.0,0.2,0.1,67.5,7.5,0.7,0.9,14.9,0.3,0.0,0.1,24.1,11.5,22.8,0.7,0.1,0.2,0.1,0.2,1.9,0.0,13.7,0.1,0.1,0.8,0.1,0.5,53.5,8.6,0.1,0.7,13.2,0.4,31.8,10.2,14.7,1.5,0.3,0.0,0.1,2.2,0.2,10.5,0.2,0.7,0.2,53.1,5.7,0.2,1.2,9.6,0.1,0.0,35.8,10.2,12.9,1.8,0.0,0.2,0.3,2.8,0.3,8.2,0.6,0.1,48.3,6.5,0.3,0.8,9.7,0.2,1.2,40.3,7.2,7.8,1.6,0.5,0.3,0.7,2.3,0.5,40.2,0.1,12.4,0.3,1.2,47.2,3.5,1.7,0.8,0.1,0.3,0.1,0.7,15.4,8.0,0.5,0.1,74.8
"학력",대학생/대학원생,2.5,28.9,3.2,0.0,0.1,0.0,2.7,0.0,11.0,5.5,1.1,0.9,77.2,8.3,1.0,1.4,15.1,0.0,0.1,0.0,14.3,8.7,31.7,1.1,0.0,0.8,0.2,1.5,6.5,0.0,13.7,0.0,0.4,2.9,0.5,1.6,57.0,9.3,1.8,1.8,23.0,0.0,21.4,9.7,16.1,2.1,0.0,1.0,0.6,3.4,0.0,14.6,0.2,2.5,2.2,64.8,10.6,0.0,0.6,14.7,0.1,0.9,14.8,8.1,18.8,0.3,0.0,0.5,0.0,4.0,0.0,10.2,0.5,0.0,58.6,5.6,0.0,0.0,10.2,0.1,0.0,29.7,9.7,9.7,0.3,0.0,0.0,1.0,6.6,0.2,47.6,0.0,16.5,0.6,0.4,37.1,0.8,0.8,4.6,0.0,0.0,2.0,0.1,21.7,10.9,2.6,0.0,64.4
"주거형태",아파트,4.7,14.2,1.2,0.2,0.0,0.1,1.5,0.3,8.2,0.9,0.2,0.1,52.2,6.6,0.4,0.9,9.3,0.6,0.1,0.0,40.9,6.9,16.0,0.8,0.0,0.1,0.0,0.2,1.4,0.1,9.0,0.1,0.1,0.7,0.1,0.2,39.0,6.0,0.1,0.5,8.0,0.2,50.0,6.7,10.8,1.1,0.0,0.1,0.1,1.5,0.1,8.1,0.0,0.6,0.2,41.2,5.3,0.2,0.9,7.0,0.1,0.1,49.8,7.2,8.7,0.6,0.0,0.0,0.0,2.2,0.2,5.3,0.3,0.1,37.6,3.9,0.2,0.8,7.7,0.0,0.6,53.7,5.4,4.6,1.5,0.4,0.2,0.4,1.6,0.4,27.5,0.1,10.7,0.1,0.8,61.1,2.4,1.6,1.5,0.0,0.2,0.3,0.2,14.0,7.4,0.6,0.1,76.1
"주거형태",단독주택,0.8,4.3,0.2,0.0,0.4,0.0,1.0,0.0,3.6,0.0,0.0,0.2,24.8,1.7,0.1,0.0,5.3,0.0,0.0,0.0,71.4,5.0,9.0,0.0,0.0,0.1,0.0,0.1,1.5,0.0,5.8,0.0,0.0,1.2,0.0,0.1,22.0,2.6,0.2,0.6,4.8,0.7,69.8,2.6,3.7,0.8,0.3,0.0,0.0,0.3,0.0,2.0,0.0,0.2,0.5,17.2,1.6,0.0,0.2,4.7,0.0,0.0,77.1,2.6,3.9,0.0,0.0,0.2,0.3,1.0,0.1,2.0,0.3,0.0,15.5,2.1,0.1,0.2,5.3,0.3,0.1,78.2,2.7,2.5,0.6,0.0,0.1,0.5,0.5,0.0,12.7,0.0,7.7,0.4,0.4,78.9,1.1,0.2,0.1,0.1,0.0,0.3,0.4,7.9,9.7,0.6,0.0,82.9
"주거형태",다세대 및 연립주택,4.5,16.1,0.9,0.0,0.5,0.1,1.7,0.1,6.8,1.4,0.2,0.0,47.6,3.5,0.7,0.7,12.2,0.4,0.0,0.0,43.2,8.2,17.5,0.7,0.0,0.3,1.0,0.3,1.0,0.1,9.7,0.0,0.1,3.2,0.1,0.6,44.4,8.0,0.0,1.1,14.7,0.3,40.8,7.5,8.7,0.8,0.5,0.1,0.4,2.1,0.7,6.2,0.1,1.1,0.5,39.4,2.6,0.0,0.5,8.3,0.3,0.2,51.6,9.8,11.8,1.5,0.0,0.5,0.5,3.1,0.0,6.2,0.3,0.0,41.2,6.4,0.1,0.8,7.7,0.1,1.1,48.3,5.3,8.1,1.3,0.0,0.4,0.0,2.2,0.6,33.4,0.0,10.7,0.0,0.9,53.6,4.3,2.9,1.1,0.0,0.0,0.1,0.5,7.6,9.1,0.0,0.0,78.0
"주거형태",오피스텔,7.4,18.4,0.9,0.0,0.0,0.0,2.6,1.7,9.7,0.0,0.0,0.0,65.1,7.0,0.0,1.5,20.9,0.0,0.0,0.2,26.6,13.3,24.1,0.0,0.0,0.0,0.0,0.0,2.9,0.0,11.2,0.0,0.0,0.5,1.1,1.6,54.4,7.6,0.8,0.0,29.1,0.0,18.9,14.0,19.7,3.0,0.0,0.0,0.0,2.6,0.0,8.4,1.5,0.0,0.0,62.6,2.2,0.0,0.7,12.1,0.0,0.0,33.3,7.9,25.9,5.1,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,59.1,5.1,0.0,1.8,6.5,0.0,2.8,16.9,3.9,9.6,0.0,0.0,0.0,1.3,7.9,0.0,62.8,0.0,30.0,0.0,0.0,23.5,4.2,3.3,0.0,0.0,0.0,0.0,2.4,13.9,10.2,0.0,0.0,77.1
"주거형태",상가주택,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.2,14.6,0.0,0.0,0.0,3.3,3.2,0.0,4.7,0.0,2.4,6.6,42.7,2.7,0.0,0.0,3.1,0.0,0.0,42.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,93.6
"주거형태",기타,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4,9.7,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,36.3,4.5,0.0,0.0,17.3,0.0,51.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.7,2.7,8.9,0.0,0.0,0.0,0.7,0.0,18.2,0.0,0.0,21.7,2.7,0.0,0.0,11.2,0.0,0.0,63.6,0.0,4.9,2.3,0.0,0.0,0.0,0.0,0.0,12.7,0.0,16.0,0.0,0.0,69.0,-,-,-,-,-,-,-,-,-,-,-,-
"가족구성",1인가구,4.9,13.3,0.5,0.1,0.0,0.0,2.7,0.2,7.4,1.3,0.3,0.0,41.0,4.9,0.6,0.9,13.3,0.1,0.0,0.0,50.8,9.8,18.1,0.6,0.1,0.2,0.7,0.2,1.8,0.0,12.5,0.2,0.3,1.9,0.4,0.8,35.8,6.1,0.0,0.5,15.8,0.6,48.3,5.4,12.6,0.5,0.1,0.1,0.5,1.9,0.1,6.5,0.3,1.1,1.2,35.6,3.7,0.0,1.2,7.7,0.2,0.2,54.1,6.9,9.7,1.5,0.0,0.4,0.3,2.5,0.0,7.0,0.0,0.0,31.7,6.3,0.0,0.3,6.7,0.4,0.6,59.5,7.4,5.8,0.7,0.6,0.0,0.6,1.4,0.1,31.0,0.0,14.6,0.6,1.5,58.5,3.2,1.8,1.0,0.0,0.0,0.1,1.0,14.5,9.6,0.4,0.0,72.5
"가족구성",1세대가구,3.9,9.1,0.6,0.1,0.0,0.3,0.4,0.1,4.3,0.3,0.1,0.0,32.5,3.4,0.3,0.3,6.1,0.0,0.0,0.0,63.9,7.3,10.6,0.1,0.0,0.0,0.0,0.1,1.2,0.0,5.1,0.0,0.0,0.1,0.0,0.0,26.4,5.7,0.2,0.9,7.0,0.0,67.3,4.1,5.8,1.1,0.1,0.0,0.2,0.9,0.1,3.8,0.0,0.1,0.2,24.2,2.8,0.1,0.3,4.0,0.0,0.0,71.0,5.5,5.7,0.1,0.0,0.1,0.0,0.9,0.1,3.0,0.0,0.0,21.0,1.8,0.0,0.3,4.3,0.1,0.9,74.5,2.2,2.8,1.2,0.2,0.3,0.0,0.5,0.0,14.4,0.0,7.9,0.0,0.0,77.5,4.2,2.0,0.1,0.0,0.8,0.3,0.4,7.9,7.6,0.0,0.0,82.2
