"구분별(1)",구분별(2),2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"구분별(1)",구분별(2),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),네이버 TV(구 네이버NOW) (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),라프텔 (%),스포티비 나우 (%),네이버 치지직 (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),틱톡(틱톡 라이브 구독) (%),펄스픽 (%),드라마박스 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),네이버 TV(구 네이버NOW) (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),네이버 시리즈온 (동영상 시청에 한함) (%),카카오페이지 (동영상 시청에 한함) (%),라프텔 (%),스포티비 나우 (%),네이버 치지직 (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),틱톡(틱톡 라이브 구독) (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),네이버 TV(구 네이버NOW) (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),카카오페이지 (동영상 시청에 한함) (%),라프텔 (%),스포티비 나우 (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),틱톡(틱톡 라이브 구독) (%),트위치 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),카카오 TV (%),쿠팡플레이 (쿠팡와우 이용자만) (%),네이버 시리즈온 (동영상 시청에 한함) (%),카카오페이지 (동영상 시청에 한함) (%),넷플릭스 (%),디즈니플러스 (%),아마존프라임 (%),애플TV+ (%),유튜브(유튜브 프리미엄 구독) (%),트위치 (%),시즌 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),쿠팡플레이 (쿠팡와우 이용자만) (%),넷플릭스 (%),아마존프라임 (%),유튜브(유튜브 프리미엄 구독) (%),트위치 (%),시즌 (%),이중에 이용한적 없음 (%),웨이브(Wavve) (%),티빙(Tving) (%),U+모바일 TV (%),곰TV (%),위버스 (%),SOOP(구 아프리카TV) (%),왓챠 (%),넷플릭스 (%),유튜브(유튜브 프리미엄 구독) (%),시즌 (%),기타 (%),이중에 이용한적 없음 (%)
"연령",60대,1.0,2.3,0.1,0.0,0.0,0.0,0.2,0.0,1.6,0.0,0.0,0.0,21.2,0.6,0.0,0.2,3.1,0.0,0.2,0.0,75.0,1.8,3.1,0.1,0.0,0.0,0.0,0.0,0.2,0.0,1.7,0.0,0.0,0.1,0.0,0.0,13.2,0.9,0.0,0.3,1.6,0.0,82.7,0.6,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.3,9.5,0.2,0.0,0.1,2.2,0.0,0.0,87.6,0.3,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,5.5,0.0,0.0,0.3,3.7,0.0,0.2,90.5,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.2,4.9,0.0,0.4,92.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.3,0.0,0.0,91.3
"연령",70세 이상,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,3.4,0.0,0.0,0.0,1.6,0.0,0.0,0.0,94.9,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.3,0.0,0.0,2.6,0.5,0.0,0.1,0.6,0.0,96.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.5,0.1,0.0,0.1,0.7,0.0,0.0,97.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.5,0.1,0.0,98.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.6,0.0,0.0,98.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.7,0.0,0.0,91.4
"지역",서울,4.7,14.5,0.2,0.0,0.1,0.1,2.5,0.0,7.0,0.9,0.4,0.0,56.0,3.5,1.0,1.0,13.5,0.1,0.0,0.0,36.2,11.0,18.6,0.5,0.0,0.1,0.7,0.1,2.6,0.1,10.2,0.0,0.0,2.9,0.0,0.7,41.4,8.3,0.0,0.4,12.4,0.3,43.2,8.1,12.8,1.1,0.0,0.1,0.0,2.1,0.0,6.5,0.4,1.0,0.2,40.2,5.7,0.2,0.6,9.7,0.1,0.1,47.9,8.5,11.9,0.8,0.0,0.0,0.7,2.2,0.2,7.0,0.4,0.2,39.8,5.4,0.1,0.6,4.7,0.0,1.0,52.2,5.8,5.0,1.0,0.0,0.2,0.2,3.3,0.2,28.1,0.2,9.4,0.0,1.1,60.6,3.1,0.9,0.1,0.0,0.7,0.0,1.0,13.1,13.3,0.0,0.0,74.1
"지역",인천/경기,5.9,14.3,1.4,0.1,0.3,0.0,2.0,0.6,7.3,1.4,0.1,0.0,51.6,6.9,0.4,0.8,13.3,0.9,0.0,0.0,41.3,6.8,15.8,0.8,0.0,0.0,0.1,0.1,1.6,0.1,11.5,0.0,0.2,1.0,0.1,0.3,44.3,7.1,0.2,0.8,12.8,0.2,43.1,7.4,10.8,1.4,0.3,0.0,0.4,1.6,0.4,9.6,0.0,0.6,0.6,41.1,4.4,0.1,1.2,8.2,0.2,0.0,49.8,7.3,8.2,1.0,0.0,0.4,0.0,2.0,0.2,6.3,0.2,0.1,34.8,4.9,0.2,0.9,8.6,0.2,0.3,55.1,5.2,5.9,1.7,0.6,0.1,0.9,1.2,0.5,28.2,0.0,13.9,0.4,0.6,59.0,1.4,2.3,1.1,0.1,0.0,0.4,0.0,13.6,8.9,0.0,0.0,75.3
"지역",대전/충청/세종,2.7,15.3,1.1,0.3,0.0,0.2,0.7,0.0,6.4,0.0,0.0,0.2,43.0,4.8,0.0,1.1,6.5,0.7,0.0,0.0,49.7,7.0,17.9,0.3,0.0,0.0,0.0,0.2,0.8,0.0,8.0,0.3,0.3,0.3,0.2,0.4,31.6,2.6,0.0,0.8,8.3,1.6,55.9,2.4,5.4,0.4,0.0,0.0,0.0,1.1,0.0,4.5,0.0,0.1,0.1,31.0,2.3,0.0,0.1,4.6,0.1,0.1,64.7,4.0,5.8,0.1,0.2,0.0,0.2,1.1,0.0,2.1,0.8,0.0,26.1,3.6,0.3,1.1,8.5,0.0,0.5,63.6,5.5,2.5,2.4,0.0,0.0,0.2,0.9,0.1,24.4,0.0,15.2,0.0,0.6,58.1,5.4,2.3,4.7,0.0,0.1,0.0,0.0,13.3,7.7,0.0,0.0,72.2
"지역",광주/전라/제주,2.0,10.5,0.4,0.0,0.0,0.0,0.7,0.0,8.3,0.1,0.1,0.3,32.2,5.7,0.0,0.2,6.0,0.2,0.0,0.0,58.8,5.9,8.1,0.6,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0.2,0.0,1.6,0.0,0.2,26.6,4.2,0.6,0.8,5.9,0.1,66.7,3.8,5.5,1.9,0.0,0.0,0.0,0.5,0.0,4.0,0.0,1.4,0.0,26.4,4.8,0.0,0.6,0.9,0.0,0.3,68.8,5.7,6.3,1.0,0.0,0.0,0.0,1.5,0.2,3.5,0.0,0.0,21.7,0.7,0.0,0.3,4.9,0.0,0.6,71.1,3.9,4.0,1.3,0.1,0.1,0.0,0.6,0.2,18.4,0.0,7.1,0.0,0.3,74.5,1.1,0.4,0.1,0.0,0.0,0.2,0.6,4.5,2.7,0.1,0.0,92.5
"지역",부산/울산/경남,3.0,13.9,0.2,0.0,0.4,0.0,1.0,0.5,7.0,1.1,0.4,0.0,45.2,4.9,0.6,1.1,7.3,0.1,0.5,0.2,48.1,5.7,18.6,0.4,0.2,0.4,0.0,0.5,1.1,0.0,9.0,0.0,0.0,0.3,0.3,0.0,31.3,4.2,0.1,0.6,6.5,0.2,55.8,4.9,9.3,0.3,0.0,0.5,0.0,1.6,0.2,5.2,0.0,0.3,1.2,32.1,2.4,0.2,0.7,6.6,0.0,0.0,58.9,4.0,6.5,1.6,0.0,0.0,0.2,3.0,0.1,6.9,0.0,0.0,31.8,2.0,0.0,0.4,10.8,0.1,0.6,57.2,3.1,5.3,0.3,0.0,0.4,0.0,1.1,0.4,19.7,0.0,8.6,0.2,1.0,70.3,2.6,1.1,0.5,0.0,0.0,0.7,0.6,12.5,10.1,2.6,0.2,75.9
"지역",대구/경북,3.1,5.0,2.5,0.0,0.0,0.0,0.4,0.0,6.3,0.3,0.0,0.0,38.3,2.3,0.0,0.0,2.0,0.0,0.0,0.0,59.7,3.0,4.9,0.0,0.0,0.2,0.0,0.0,0.5,0.0,2.3,0.0,0.0,0.3,0.0,0.0,25.3,1.6,0.0,0.0,1.5,0.0,70.7,6.0,6.1,0.6,0.7,0.0,0.1,0.3,0.0,2.5,0.0,0.1,0.0,34.1,2.1,0.0,0.0,4.5,0.0,0.0,61.1,3.3,6.6,0.1,0.0,0.0,0.0,0.4,0.0,1.7,0.2,0.2,23.9,1.2,0.0,0.0,1.8,0.0,0.2,74.3,1.5,0.9,0.7,0.0,0.1,0.0,0.7,0.1,17.3,0.0,2.9,0.0,0.2,78.4,2.4,0.8,1.0,0.0,0.0,0.0,0.0,8.9,1.6,0.8,0.0,85.9
"지역",강원,1.1,12.6,0.5,0.0,0.2,0.0,0.7,0.0,7.3,0.3,0.0,0.0,37.7,4.2,0.4,0.8,6.5,0.0,0.0,0.0,56.4,4.3,7.0,0.2,0.0,0.5,0.2,0.8,0.3,0.0,4.4,0.0,0.0,0.8,0.0,0.0,25.9,3.8,0.0,0.1,1.7,0.0,71.0,1.9,5.3,0.1,0.0,0.0,0.8,0.4,0.0,3.0,0.4,0.4,0.4,24.6,2.5,0.0,0.0,6.6,0.4,0.2,66.3,6.1,2.6,0.4,0.0,0.0,0.0,1.2,0.0,2.5,0.3,0.0,26.1,7.0,0.5,0.7,7.3,0.0,0.2,65.2,1.8,1.1,0.1,0.1,1.1,2.3,0.5,0.0,15.9,0.0,4.5,1.6,0.0,81.0,0.9,1.6,0.6,0.0,0.0,0.0,0.0,5.6,5.4,0.0,0.0,89.4
"직업",사무직,7.4,19.2,1.5,0.1,0.2,0.1,2.6,0.2,11.3,1.1,0.1,0.0,71.5,6.9,0.8,1.1,18.2,0.3,0.0,0.0,20.9,13.7,25.3,0.6,0.1,0.1,0.1,0.1,2.4,0.0,13.8,0.1,0.1,1.3,0.3,0.7,57.9,9.5,0.2,0.8,15.3,0.4,26.7,10.1,16.9,1.9,0.6,0.1,0.0,2.5,0.2,9.8,0.1,0.5,0.1,57.3,6.2,0.2,1.2,9.9,0.0,0.0,32.1,9.2,15.0,1.6,0.1,0.3,0.6,3.5,0.3,9.4,0.6,0.2,50.0,6.4,0.3,1.0,9.9,0.0,1.5,37.7,7.6,7.0,2.1,0.5,0.1,0.8,2.6,0.3,42.4,0.0,13.0,0.2,0.9,45.0,3.8,2.3,0.7,0.1,0.5,0.1,0.6,16.3,8.3,0.7,0.1,73.2
