기준_년분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액
20254,발달상권,방이동먹자골목,양식음식점,363246734,10217,186482943,176763791,189320201,81922402,2253870,87483009,114173417,28379518,25032245,13920542
20254,전통시장,새마을시장,치킨전문점,525708146,27673,325096437,200611709,291055590,197142359,4350821,34040984,78014306,135750762,134897528,101143548
20254,발달상권,연남동(홍대),피부관리실,420556268,3635,277146969,143409299,35726477,379843460,8651940,176888602,140374048,32489582,55032350,2133416
20254,골목상권,경리단길북측,제과점,7509686,539,3510034,3999652,1881181,5331894,0,2028651,2586781,1253703,756984,586955
20254,골목상권,영등포동성당,조명용품,289389009,1666,278605834,10783175,48907397,219027394,0,186883,2279979,209720598,22239129,33508201
20254,발달상권,약수역,커피-음료,369643317,45149,255959312,113684005,159055164,192949746,3735807,76208071,97129877,54081987,61571456,59277710
20254,골목상권,원신초등학교(구세군관악영문교회),일반의류,93177555,2781,67649615,25527940,46991163,46186392,0,2386210,0,3714383,8069643,79007319
20254,전통시장,용산용문시장,컴퓨터및주변장치판매,6934028,394,6934028,0,6934028,0,0,0,6934028,0,0,0
20254,전통시장,고척프라자,미용실,44939321,1233,21936989,23002332,24662517,20276804,414127,6532142,16158417,10483310,8577363,2773962
20254,골목상권,경리단길남측,호프-간이주점,844849188,10800,558001581,286847607,485702369,252937401,2542376,157877636,259674305,157288378,127257747,33999331
20254,발달상권,"신촌역(신촌역, 신촌로터리)",서적,281010708,8954,213665852,67344856,78290043,128866392,7906156,62272522,35777446,33284242,46934797,20981275
20254,골목상권,경리단길남측,화장품,5911975,20,5911975,0,0,5911975,0,0,0,0,0,5911975
20254,전통시장,남성역골목시장,패스트푸드점,71504796,4095,46559703,24945093,37332721,20584695,614190,9403220,10506244,20993496,10329743,6070524
20254,발달상권,까치산역,스포츠클럽,356826087,1677,309313128,47512959,217560249,128987452,0,98400922,94119129,58473612,42459993,53094045
20254,발달상권,북창동(시청역_6번),스포츠 강습,17298115,48,17298115,0,0,13797872,0,2592773,6646141,4515746,0,43213
20254,골목상권,경리단길남측,시계및귀금속,1890117,273,1205292,684825,684825,1205292,0,0,0,0,376654,1513463
20254,발달상권,강서구청,슈퍼마켓,906659292,71051,696085650,210573642,416792122,489867170,7039391,93608292,183660076,200313502,193967319,228070712
20254,골목상권,경의선책거리,슈퍼마켓,404987789,44380,294489455,110498334,186242309,156764619,11595888,112488745,59461980,53188764,65699493,40572059
20254,발달상권,포스코사거리,세탁소,102561205,3918,83920100,18641105,48253925,38852485,0,4980074,31966432,21328039,18395202,10436662
20254,골목상권,이태원엔틱가구거리,일반의류,63559562,215,63559562,0,0,63559562,0,0,0,3776799,15554451,44228312
20254,발달상권,보라매공원,의약품,6187036858,297884,5725465868,461570990,3207192486,2979844372,6815183,312293834,769023637,1062932267,1396605474,2639366463
20254,발달상권,성수대교남단,호프-간이주점,180409829,2201,112106177,68303652,101720389,61793739,158168,36063910,65422031,8647801,37873943,15348274
20254,골목상권,대청초등학교,철물점,111898853,5608,93616924,18281929,58708106,22849163,0,3708147,17093398,12010316,21415058,27330349
20254,골목상권,망리단길,중식음식점,19305277,294,11202252,8103025,12395470,6496994,0,5476722,7595105,2987389,1954608,878638
20254,발달상권,명동역(명동재미로),네일숍,71793506,207,61145569,10647937,1103757,70689749,0,2058755,27731587,7652344,803161,33525254
20254,발달상권,서울세관,스포츠 강습,66695686,180,52624867,14070819,47398561,19297125,0,21709266,21166534,9749067,14070819,0
20254,전통시장,숭례문수입상가(남대문시장),시계및귀금속,105671777,1705,103845652,1826125,19478669,86193108,0,0,6330567,44435712,13269843,41635655
20254,골목상권,양평역 2번,분식전문점,181570209,13403,162755760,18814449,57650181,47115935,39320,12360996,29198176,26177205,26152593,10837830
20254,골목상권,신정네거리역 2번,가구,106876046,135,53346832,53529214,15228925,83348724,0,0,1550250,41036023,12128425,43862951
20254,골목상권,한남IC,양식음식점,455358877,3919,357054205,98304672,184965561,109821702,1658643,54608873,85705350,92436648,41382145,18995602
20254,골목상권,오산고등학교,세탁소,36267830,1615,26760247,9507583,18102581,13231494,0,663590,3524620,10123173,10118374,6904317
20254,골목상권,시흥초등학교(시흥1동우체국),일반교습학원,59209197,254,54079272,5129925,21245249,37963948,0,0,11546402,27028252,20634543,0
20254,발달상권,방배역,시계및귀금속,64023586,1157,60457260,3566326,24687388,39336198,0,638708,1269646,433932,16588255,45093045
20254,골목상권,서빙고동주민센터,슈퍼마켓,69000000,8221,48596204,20403796,41582221,25739532,121832,10717337,27096685,7822053,12332108,9231737
20254,발달상권,한티역,제과점,677571787,45826,466831373,210740414,236384974,381206967,5791841,54560737,106085448,204429930,172679431,74044554
20254,골목상권,송정역 3번,예술학원,30198569,246,30198569,0,0,30198569,0,0,0,20145986,0,10052583
20254,발달상권,안암역,스포츠클럽,336445305,1497,297151935,39293370,172938926,163506379,801632,105454802,64023743,55927252,84906278,25331598
20254,전통시장,상암동상점가,예술학원,49141397,234,49141397,0,9280125,39861272,0,11781423,18380906,13950591,5028477,0
20254,골목상권,한국폴리텍대학서울정수캠퍼스,편의점,148385578,19647,105355566,43030012,98028047,47837020,660662,16882646,47205520,38462059,29737626,12916555
20254,골목상권,한국폴리텍대학서울정수캠퍼스,커피-음료,36815906,7594,28182542,8633364,18525316,15507661,300995,6071670,6405539,6936864,7565084,6752825
20254,발달상권,월곡역,안경,158095934,1967,136113162,21982772,62691621,95404313,548238,36932954,31100223,24693118,49478926,15342475
20254,발달상권,DMC(디지털미디어시티),일반의원,4909962910,111450,4178376049,731586861,1980028512,2902997255,8979691,484418232,1324022660,1460354682,1113327202,491923301
20254,발달상권,군자역,양식음식점,136623596,3116,102164709,34458887,59511930,50797770,809445,23121839,39618723,20519183,14363172,11877339
20254,발달상권,강남구청역,반찬가게,1500000000,17450,1385143819,114856181,454212847,606459441,1375179,34654505,361695476,223302525,339249704,100394899
20254,골목상권,한국폴리텍대학서울정수캠퍼스,핸드폰,95207481,450,14179838,81027643,1125384,94082097,0,0,0,14179838,81027643,0
20254,골목상권,구로초등학교,일반교습학원,30000000,160,18542511,11457489,20931173,9068827,0,0,8157895,12773279,9068826,0
20254,발달상권,방배동카페골목,일반교습학원,167134069,413,152820017,14314052,106315153,60818916,0,0,0,123315422,43818647,0
20254,골목상권,대림1동주민센터,화장품,8359579,28,8359579,0,1035924,7323655,0,0,0,0,3970439,4389140
20254,발달상권,경희대학교(경희대),한식음식점,4922846568,153487,3582353635,1340492933,2507776928,1907045370,104085749,1604343316,895071982,669403338,758632641,383285273
20254,전통시장,장미원골목시장,청과상,1304781573,98994,1024864014,279917559,444764780,857059951,341507,18153773,73921242,148613056,327813809,732981345
20254,발달상권,노원역,인테리어,157978846,1618,157978846,0,104491286,3053896,0,0,0,3602032,3132201,100810949
20254,발달상권,코엑스,패스트푸드점,1732435412,163566,1222685920,509749492,801953813,616811410,28764320,291419039,453011746,351202643,200049125,94318350
20254,골목상권,숭실대입구역 1번,일반의원,2867024386,76226,2330068078,536956308,1271121887,1595902499,3767877,196212146,938446119,836255808,569179493,323162943
20254,발달상권,가산디지털단지,여관,344792261,7548,261561097,83231164,187444737,97752253,4104365,44812132,57645115,55899853,35344060,87391466
20254,전통시장,둔촌역전통시장,육류판매,5187651060,139081,3337022957,1850628103,1935039478,3104222380,530257,131597971,467175360,812490071,1230456840,2397011356
20254,골목상권,남가좌파출소,미용실,116369316,2567,85602413,30766903,48813108,67556208,268039,5174051,19201119,33745167,27040385,30940555
20254,골목상권,NH농협은행 보광동지점,호프-간이주점,5171684,122,2928516,2243168,4228726,799570,0,840885,1054751,1380412,1380412,371836
20254,골목상권,등촌역 4번,미용실,172477985,3380,101426085,71051900,57322259,115155726,0,24960421,26269676,33114356,32607557,55525975
20254,전통시장,영동전통시장,호프-간이주점,740245763,11331,479251196,260994567,419621513,247805801,278859,161080563,331851905,116996206,45482899,11736887
20254,전통시장,한아름시장,예술학원,27567479,77,14745396,12822083,14104291,13463188,0,0,0,15386500,12180979,0
20254,골목상권,우사단길,미용실,15878494,463,11829218,4049276,5787246,10091248,0,1165913,2717542,2218577,5012210,4764252
20254,전통시장,행당시장상점가,커피-음료,400364724,27898,289387735,110976989,107174664,243892022,2032230,88311588,105731755,52340003,62253182,40397927
20254,골목상권,목동로데오거리,피부관리실,1029412,15,0,1029412,0,1029412,0,0,0,0,1029412,0
20254,발달상권,상수역(홍대),제과점,691066236,54485,473438637,217627599,177746444,488466870,32367454,353944210,128063962,54438025,70596231,26803428
20254,전통시장,동대문상가A동,신발,7012493597,106567,5635537377,1376956220,2960995291,1756654596,18419059,100778565,182085554,305624815,897271301,3213470594
20254,골목상권,우사단길,청과상,69832205,1983,69832205,0,14544516,49896028,0,61760,5076685,19380335,17021098,22900665
20254,발달상권,고덕역,노래방,65183744,8463,47790968,17392776,43355481,20109139,6625549,9885421,10141899,9357327,22722090,4732335
20254,발달상권,도곡1동,조명용품,106345644,6378,93771098,12574546,54251144,16454700,0,1002903,17656983,16938879,16114030,18993049
20254,발달상권,국회의사당역(국회의사당),슈퍼마켓,1944713557,254303,1633978260,310735297,1289975696,460370291,8357466,161667939,519920064,426096675,392768248,241535592
20254,발달상권,발산역(마곡),일반교습학원,849000000,1795,748025342,100974658,264434881,584565119,0,0,288257574,554673435,2244752,3824239
20254,발달상권,서울대입구역,패스트푸드점,1841242752,144362,1376742962,464499790,823933592,748846177,17264557,469851993,469505927,246594795,250085569,119476930
