"동별(1)",동별(2),동별(3),2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",광진구,중곡2동,10503,20077,9401,10676,19651,9245,10406,426,156,270
"합계",광진구,중곡3동,8433,15512,7556,7956,15188,7425,7763,324,131,193
"합계",광진구,중곡4동,13204,27246,13086,14160,26787,12903,13884,459,183,276
"합계",광진구,능동,6336,11073,5089,5984,10586,4876,5710,487,213,274
"합계",광진구,광장동,11740,33096,15960,17136,32828,15835,16993,268,125,143
"합계",광진구,자양1동,12137,22388,10689,11699,21422,10277,11145,966,412,554
"합계",광진구,자양2동,12197,26593,12786,13807,26269,12643,13626,324,143,181
"합계",광진구,자양3동,10970,26959,12910,14049,26605,12757,13848,354,153,201
"합계",광진구,자양4동,11402,23290,11184,12106,19887,9696,10191,3403,1488,1915
"합계",광진구,구의1동,13588,23960,11203,12757,23192,10890,12302,768,313,455
"합계",광진구,구의2동,11545,25425,12041,13384,24775,11764,13011,650,277,373
"합계",광진구,구의3동,12013,27616,13047,14569,27363,12944,14419,253,103,150
"합계",동대문구,소계,180987,373644,179269,194375,353070,171884,181186,20574,7385,13189
"합계",동대문구,신설동,9585,17096,8285,8811,16369,8064,8305,727,221,506
"합계",동대문구,용두동,12864,23739,11503,12236,22682,11129,11553,1057,374,683
"합계",동대문구,제기동,12821,24793,12348,12445,22100,11381,10719,2693,967,1726
"합계",동대문구,전농1동,16508,33494,16389,17105,32467,16022,16445,1027,367,660
"합계",동대문구,전농2동,7346,17583,8291,9292,17124,8135,8989,459,156,303
"합계",동대문구,답십리1동,13029,28028,13348,14680,27576,13164,14412,452,184,268
"합계",동대문구,답십리2동,12693,27520,13145,14375,27151,12985,14166,369,160,209
"합계",동대문구,장안1동,18676,37955,18324,19631,37038,18033,19005,917,291,626
"합계",동대문구,장안2동,15107,33521,16430,17091,32998,16218,16780,523,212,311
"합계",동대문구,청량리동,9931,18863,9140,9723,18282,8914,9368,581,226,355
"합계",동대문구,회기동,6746,13729,6069,7660,10281,4862,5419,3448,1207,2241
"합계",동대문구,휘경1동,9053,19354,8664,10690,16818,7841,8977,2536,823,1713
"합계",동대문구,휘경2동,12683,24841,12177,12664,23509,11719,11790,1332,458,874
"합계",동대문구,이문1동,15811,34437,16184,18253,30777,14819,15958,3660,1365,2295
"합계",동대문구,이문2동,8134,18691,8972,9719,17898,8598,9300,793,374,419
"합계",중랑구,소계,190382,383339,186444,196895,376282,183450,192832,7057,2994,4063
"합계",중랑구,면목2동,12052,23340,11557,11783,22837,11337,11500,503,220,283
"합계",중랑구,면목4동,8912,17882,8837,9045,17439,8640,8799,443,197,246
"합계",중랑구,면목5동,6176,13912,6857,7055,13743,6799,6944,169,58,111
"합계",중랑구,면목본동,17726,32489,15919,16570,31485,15473,16012,1004,446,558
"합계",중랑구,면목7동,10505,20845,10273,10572,20389,10074,10315,456,199,257
"합계",중랑구,면목3.8동,12699,24050,11820,12230,23378,11505,11873,672,315,357
"합계",중랑구,상봉1동,10360,22960,11059,11901,22757,10971,11786,203,88,115
