"동별(1)",동별(2),동별(3),2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",영등포구,여의동,14250,34371,16113,18258,33985,15912,18073,386,201,185
"합계",영등포구,당산1동,11949,21398,10214,11184,20995,10053,10942,403,161,242
"합계",영등포구,당산2동,18993,36661,17009,19652,36231,16852,19379,430,157,273
"합계",영등포구,도림동,9975,19324,9769,9555,17524,8871,8653,1800,898,902
"합계",영등포구,문래동,12983,31297,15187,16110,31094,15097,15997,203,90,113
"합계",영등포구,양평1동,10650,19864,9381,10483,19581,9279,10302,283,102,181
"합계",영등포구,양평2동,11285,22649,10834,11815,22377,10733,11644,272,101,171
"합계",영등포구,신길1동,11703,20119,10208,9911,18904,9568,9336,1215,640,575
"합계",영등포구,신길3동,7888,16923,8412,8511,16063,7951,8112,860,461,399
"합계",영등포구,신길4동,5711,12342,6065,6277,11761,5777,5984,581,288,293
"합계",영등포구,신길5동,4456,10396,5105,5291,9521,4599,4922,875,506,369
"합계",영등포구,신길6동,9212,18338,8846,9492,17683,8528,9155,655,318,337
"합계",영등포구,신길7동,7863,19524,9622,9902,19334,9532,9802,190,90,100
"합계",영등포구,대림1동,6794,15475,7745,7730,13169,6509,6660,2306,1236,1070
"합계",영등포구,대림2동,6849,16500,8277,8223,11421,5520,5901,5079,2757,2322
"합계",영등포구,대림3동,10268,23740,11845,11895,20646,10212,10434,3094,1633,1461
"합계",동작구,소계,187843,383623,184002,199621,371543,179268,192275,12080,4734,7346
"합계",동작구,노량진1동,18514,35360,17897,17463,33477,17152,16325,1883,745,1138
"합계",동작구,노량진2동,5379,8462,4486,3976,7504,4001,3503,958,485,473
"합계",동작구,상도1동,23227,45978,21900,24078,43918,21256,22662,2060,644,1416
"합계",동작구,상도2동,12287,27134,12754,14380,26684,12608,14076,450,146,304
"합계",동작구,상도3동,12233,23805,11211,12594,23316,11015,12301,489,196,293
"합계",동작구,상도4동,14757,29103,14075,15028,28606,13907,14699,497,168,329
"합계",동작구,흑석동,12998,31894,14979,16915,29795,14279,15516,2099,700,1399
"합계",동작구,사당1동,14022,22604,10833,11771,22126,10652,11474,478,181,297
"합계",동작구,사당2동,12500,27831,13303,14528,27575,13190,14385,256,113,143
"합계",동작구,사당3동,10417,23391,11232,12159,23182,11153,12029,209,79,130
"합계",동작구,사당4동,7307,13705,6521,7184,13509,6437,7072,196,84,112
"합계",동작구,사당5동,6612,13770,6578,7192,13656,6528,7128,114,50,64
"합계",동작구,대방동,16083,33866,15868,17998,33446,15702,17744,420,166,254
"합계",동작구,신대방1동,10462,24418,11755,12663,22742,10887,11855,1676,868,808
"합계",동작구,신대방2동,11045,22302,10610,11692,22007,10501,11506,295,109,186
"합계",관악구,소계,291318,497177,247593,249584,477503,239793,237710,19674,7800,11874
"합계",관악구,보라매동,12964,23462,11392,12070,22912,11162,11750,550,230,320
"합계",관악구,청림동,6348,14277,6796,7481,14129,6732,7397,148,64,84
"합계",관악구,성현동,12945,29682,14261,15421,29450,14157,15293,232,104,128
"합계",관악구,행운동,18351,29083,13821,15262,28368,13596,14772,715,225,490
"합계",관악구,낙성대동,12639,18340,9199,9141,17682,8914,8768,658,285,373
"합계",관악구,청룡동,24956,37265,17696,19569,36090,17269,18821,1175,427,748
"합계",관악구,은천동,16071,31799,15399,16400,31258,15202,16056,541,197,344
"합계",관악구,중앙동,10583,15589,7361,8228,15160,7200,7960,429,161,268
"합계",관악구,인헌동,15101,25391,12179,13212,24920,12011,12909,471,168,303
"합계",관악구,남현동,9813,17323,8334,8989,17095,8252,8843,228,82,146
"합계",관악구,서원동,15527,23839,12338,11501,22738,11953,10785,1101,385,716
"합계",관악구,신원동,11370,18054,9134,8920,17140,8757,8383,914,377,537
"합계",관악구,서림동,15934,25277,13860,11417,23624,13216,10408,1653,644,1009
"합계",관악구,신사동,14836,24211,11913,12298,22063,10939,11124,2148,974,1174
"합계",관악구,신림동,19737,24791,13139,11652,23466,12707,10759,1325,432,893
"합계",관악구,난향동,6128,14379,7007,7372,14260,6950,7310,119,57,62
"합계",관악구,조원동,12701,21384,10553,10831,19916,9862,10054,1468,691,777
"합계",관악구,대학동,18603,29565,17095,12470,25053,15328,9725,4512,1767,2745
"합계",관악구,삼성동,9820,20077,9906,10171,19889,9832,10057,188,74,114
"합계",관악구,미성동,14099,28928,14084,14844,28292,13818,14474,636,266,370
"합계",관악구,난곡동,12792,24461,12126,12335,23998,11936,12062,463,190,273
"합계",서초구,소계,174037,419518,199090,220428,414616,196787,217829,4902,2303,2599
"합계",서초구,서초1동,9569,20238,9665,10573,20021,9580,10441,217,85,132
"합계",서초구,서초2동,11584,25320,11881,13439,24869,11660,13209,451,221,230
"합계",서초구,서초3동,15721,32572,15333,17239,32149,15139,17010,423,194,229
"합계",서초구,서초4동,10727,30249,14731,15518,29976,14598,15378,273,133,140
"합계",서초구,잠원동,13223,34627,16645,17982,34321,16506,17815,306,139,167
"합계",서초구,반포본동,102,213,103,110,208,99,109,5,4,1
"합계",서초구,반포1동,14416,33593,16406,17187,33074,16200,16874,519,206,313
"합계",서초구,반포2동,8608,26692,12611,14081,26535,12535,14000,157,76,81
"합계",서초구,반포3동,8221,23612,11213,12399,23530,11173,12357,82,40,42
"합계",서초구,반포4동,6841,18638,8742,9896,17828,8298,9530,810,444,366
"합계",서초구,방배본동,7807,19962,9167,10795,19776,9068,10708,186,99,87
"합계",서초구,방배1동,7591,16532,7675,8857,16359,7596,8763,173,79,94
"합계",서초구,방배2동,7727,17497,8133,9364,17379,8087,9292,118,46,72
"합계",서초구,방배3동,5764,15511,7336,8175,15360,7269,8091,151,67,84
"합계",서초구,방배4동,10673,26060,11858,14202,25702,11707,13995,358,151,207
"합계",서초구,양재1동,17463,40524,19109,21415,40201,18976,21225,323,133,190
"합계",서초구,양재2동,11012,21011,10502,10509,20742,10349,10393,269,153,116
"합계",서초구,내곡동,6988,16667,7980,8687,16586,7947,8639,81,33,48
"합계",강남구,소계,244825,558809,266436,292373,552631,263657,288974,6178,2779,3399
"합계",강남구,신사동,6544,15158,7098,8060,14959,7002,7957,199,96,103
"합계",강남구,논현1동,13468,21451,10075,11376,20607,9734,10873,844,341,503
"합계",강남구,논현2동,11115,20502,9496,11006,20085,9312,10773,417,184,233
"합계",강남구,압구정동,9920,25584,11879,13705,25358,11768,13590,226,111,115
"합계",강남구,청담동,11541,26706,12476,14230,26419,12316,14103,287,160,127
"합계",강남구,삼성1동,5551,13050,6384,6666,12737,6179,6558,313,205,108
"합계",강남구,삼성2동,13792,30500,14511,15989,30188,14363,15825,312,148,164
"합계",강남구,대치1동,7208,23589,11867,11722,23555,11846,11709,34,21,13
"합계",강남구,대치2동,13441,38428,19555,18873,38240,19430,18810,188,125,63
"합계",강남구,대치4동,9604,18380,8733,9647,18027,8595,9432,353,138,215
"합계",강남구,역삼1동,23908,35719,17355,18364,34281,16771,17510,1438,584,854
"합계",강남구,역삼2동,15670,36400,16895,19505,36001,16732,19269,399,163,236
"합계",강남구,도곡1동,8510,20902,9783,11119,20785,9735,11050,117,48,69
"합계",강남구,도곡2동,11150,31264,14405,16859,31147,14332,16815,117,73,44
"합계",강남구,개포1동,9127,26566,12781,13785,26498,12746,13752,68,35,33
"합계",강남구,개포2동,14174,40183,19441,20742,40018,19370,20648,165,71,94
"합계",강남구,개포3동,6971,15506,7431,8075,15438,7404,8034,68,27,41
"합계",강남구,개포4동,10039,23159,11109,12050,22970,11029,11941,189,80,109
"합계",강남구,세곡동,20172,45865,21387,24478,45664,21316,24348,201,71,130
"합계",강남구,일원본동,7924,22257,10993,11264,22235,10984,11251,22,9,13
"합계",강남구,일원1동,7448,14128,6728,7400,13982,6671,7311,146,57,89
"합계",강남구,수서동,7548,13512,6054,7458,13437,6022,7415,75,32,43
"합계",송파구,소계,289569,655894,313435,342459,649715,310719,338996,6179,2716,3463
"합계",송파구,풍납1동,5096,10921,5338,5583,10573,5165,5408,348,173,175
"합계",송파구,풍납2동,10646,23230,10948,12282,22996,10851,12145,234,97,137
"합계",송파구,거여1동,5669,11862,5826,6036,11777,5796,5981,85,30,55
"합계",송파구,거여2동,10052,22959,11030,11929,22861,10992,11869,98,38,60
"합계",송파구,마천1동,7249,15170,7697,7473,15039,7648,7391,131,49,82
"합계",송파구,마천2동,8394,17007,8629,8378,16837,8555,8282,170,74,96
"합계",송파구,방이1동,6150,14849,7121,7728,14754,7084,7670,95,37,58
"합계",송파구,방이2동,16283,27028,12067,14961,26312,11776,14536,716,291,425
"합계",송파구,오륜동,5867,17368,8546,8822,17336,8530,8806,32,16,16
"합계",송파구,오금동,15736,37242,17985,19257,36932,17834,19098,310,151,159
"합계",송파구,송파1동,12470,23130,10639,12491,22812,10493,12319,318,146,172
"합계",송파구,송파2동,6811,17319,8295,9024,17188,8237,8951,131,58,73
"합계",송파구,석촌동,17099,30466,14273,16193,29916,14056,15860,550,217,333
"합계",송파구,삼전동,16036,28531,13316,15215,28113,13144,14969,418,172,246
"합계",송파구,가락본동,11717,24815,12270,12545,24537,12154,12383,278,116,162
"합계",송파구,가락1동,9759,27404,13174,14230,27034,12990,14044,370,184,186
"합계",송파구,가락2동,11653,28298,13795,14503,28125,13722,14403,173,73,100
"합계",송파구,문정1동,8980,19716,9648,10068,19546,9565,9981,170,83,87
"합계",송파구,문정2동,15808,28729,13119,15610,28531,13035,15496,198,84,114
"합계",송파구,장지동,13232,30847,14737,16110,30687,14671,16016,160,66,94
"합계",송파구,위례동,15045,44978,21792,23186,44828,21748,23080,150,44,106
"합계",송파구,잠실본동,15938,27391,12947,14444,26864,12715,14149,527,232,295
"합계",송파구,잠실2동,11527,34589,16536,18053,34491,16478,18013,98,58,40
"합계",송파구,잠실3동,11788,33556,15850,17706,33421,15777,17644,135,73,62
"합계",송파구,잠실4동,11410,32924,15826,17098,32843,15785,17058,81,41,40
"합계",송파구,잠실6동,5786,16265,7706,8559,16078,7601,8477,187,105,82
"합계",송파구,잠실7동,3368,9300,4325,4975,9284,4317,4967,16,8,8
"합계",강동구,소계,223520,503495,244890,258605,498701,242813,255888,4794,2077,2717
"합계",강동구,강일동,13908,34381,16392,17989,34193,16333,17860,188,59,129
"합계",강동구,상일1동,13560,39054,19126,19928,38893,19048,19845,161,78,83
"합계",강동구,상일2동,5273,13177,6163,7014,13124,6144,6980,53,19,34
"합계",강동구,명일1동,10025,24852,12167,12685,24736,12125,12611,116,42,74
"합계",강동구,명일2동,6433,16913,8242,8671,16802,8177,8625,111,65,46
"합계",강동구,고덕1동,8140,23672,12184,11488,23589,12141,11448,83,43,40
"합계",강동구,고덕2동,10390,26490,13181,13309,26261,13035,13226,229,146,83
"합계",강동구,암사1동,15842,32756,16104,16652,32448,15980,16468,308,124,184
"합계",강동구,암사2동,6418,14561,7061,7500,14494,7040,7454,67,21,46
"합계",강동구,암사3동,6039,16897,8176,8721,16858,8158,8700,39,18,21
"합계",강동구,천호1동,12379,24069,11728,12341,23790,11624,12166,279,104,175
"합계",강동구,천호2동,19295,36690,17739,18951,36061,17466,18595,629,273,356
"합계",강동구,천호3동,15859,28379,13544,14835,27726,13204,14522,653,340,313
"합계",강동구,성내1동,8245,18993,9032,9961,18830,8978,9852,163,54,109
"합계",강동구,성내2동,13916,24470,11799,12671,23839,11497,12342,631,302,329
"합계",강동구,성내3동,10665,21867,10554,11313,21509,10416,11093,358,138,220
"합계",강동구,길동,24205,47908,23108,24800,47421,22947,24474,487,161,326
"합계",강동구,둔촌1동,11983,33147,16264,16883,33033,16225,16808,114,39,75
"합계",강동구,둔촌2동,10945,25219,12326,12893,25094,12275,12819,125,51,74
