대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
202606,00602,602. 장안동 사거리,일일권,M,~10대,44,2147.56,19.59,84457.11,749
202606,00903,903. 은평뉴타운 아이파크,일일권,F,30대,9,271.61,2.45,10552.21,118
202606,01188,1188. 롯데중앙연구소,정기권,,기타,1,16.71,0.15,649.06,4
202606,04062,4062. 평화도봉공원 주변,정기권,M,20대,82,5913.98,53.36,229492.01,1516
202606,03402,3402.이화공영주차장,정기권,,20대,20,689.25,6.21,26777.24,177
202606,01650,1650. 중계근린공원내,일일권,F,20대,44,2336.24,21.05,92940.48,932
202606,01274,1274. 영파여고 앞,정기권,,60대,21,937.16,8.43,36409.80,301
202606,03615,3615. 서울 논현동우체국 앞,정기권,F,40대,34,1472.89,13.26,57221.68,438
202606,02302,2302. 교보타워 버스정류장(신논현역 3번출구 후면),일일권,,~10대,1,12.44,0.11,483.27,5
202606,01004,1004. 삼성광나루아파트 버스정류장,정기권,,30대,97,5719.19,51.56,222190.24,2258
202606,01396,1396.래미안장위퍼스트하이(513동),가족권,F,~10대,5,365.83,3.29,14212.94,145
202606,01660,1660. 서울시립과학관,일일권,M,20대,10,444.94,4.02,17285.87,124
202606,04153,4153. 흑석동효사정앞,일일권,F,40대,3,362.12,3.27,14068.59,98
202606,01336,1336. 성북3교 위,정기권,,기타,10,599.37,5.40,24518.32,379
202606,02025,2025. 흑석역 1번출구,일일권,F,~10대,13,1445.23,13.03,59381.33,599
202606,00480,480.약수역 6번 출구,정기권,F,30대,15,944.27,8.60,37120.97,295
202606,00452,452. 동대문 종합시장 버스정류장,일일권,F,40대,4,109.68,0.98,4808.84,127
202606,04013,4013. 중계 롯데마트,정기권,F,기타,4,216.25,1.94,8401.78,117
202606,01767,1767.방학초등학교 앞,정기권,M,~10대,203,9810.82,88.46,381148.80,2529
202606,01379,1379.길음뉴타운푸르지오아파트 3단지,정기권,,60대,3,132.30,1.19,5140.00,78
202606,02215,2215. 반포종합운동장 입구,일일권,M,~10대,16,1409.73,12.51,53878.79,605
202606,01275,1275. 거여초등학교 옆,일일권,F,50대,15,1062.51,9.57,41278.54,381
202606,03588,3588.세종대학교(영실관),일일권,,50대,1,97.56,0.88,3790.13,35
202606,02281,2281. 서울교통공사 사당별관 건너편,정기권,F,40대,10,350.91,3.17,13633.07,125
202606,01325,1325. 상월곡역 4번출구,일일권,F,30대,8,634.42,5.72,24646.91,162
202606,00391,391. 시립미술관,정기권,M,70대이상,1,11.06,0.10,429.56,4
202606,02056,2056. 동작구민 체육센터,정기권,F,20대,56,1638.32,14.76,63648.66,525
202606,01027,1027. 프라자 아파트 앞,가족권,M,~10대,1,28.86,0.26,1121.12,56
202606,00925,925. 불광역 2번출구,정기권,,40대,42,3178.50,28.66,123484.54,1120
202606,02383,2383. 보금자리정원,정기권,M,~10대,7,274.00,2.48,10644.10,82
202606,03559,3559.성동구민종합체육센터 앞,일일권,F,30대,80,6646.22,60.74,261788.01,2483
202606,01722,1722. 창동청소년수련관,정기권,F,40대,44,2184.96,19.68,84885.39,987
202606,04238,4238. 상암한샘빌딩앞,일일권,,50대,2,129.29,1.16,5022.93,58
202606,02205,2205. 내곡3단지 어린이공원 앞,정기권,F,30대,24,1030.22,9.26,40023.10,304
202606,03421,3421.혜화역 1번출구,정기권,F,40대,72,3536.16,31.87,138365.88,1313
202606,01552,1552. 강북구청사거리,일일권,F,기타,1,57.65,0.52,2239.88,15
202606,00564,564. 금호역 3번출구,일일권,,30대,8,290.06,2.61,11268.26,162
202606,00103,103. 망원역 2번출구 앞,정기권,,기타,15,1459.98,13.18,56719.52,605
202606,04213,4213. 마포구중앙도서관 정문 앞,정기권,F,70대이상,1,51.20,0.46,1989.08,27
202606,03612,3612. 은곡마을,정기권,M,40대,20,1026.12,9.14,39372.08,231
202606,00914,914. 새절역 2번출구,정기권,,40대,54,7062.28,63.66,274741.62,1819
202606,01459,1459. 용마한신아파트사거리,일일권,M,50대,1,26.33,0.24,1023.09,8
202606,04094,4094.도봉여성센터,일일권,M,30대,10,690.21,6.23,26814.05,234
202606,04353,4353. 코오롱디지털타워 3차앞,정기권,F,50대,64,6714.61,60.42,264109.47,2334
202606,03404,3404.서울특별시 중부교육지원청,일일권(3시간),M,60대,1,30.62,0.23,1004.26,72
202606,01210,1210. 롯데월드타워(잠실역2번출구 쪽),일일권(3시간),M,60대,1,390.29,3.52,15162.64,130
202606,04888,4888. 둔촌오륜역 2번출구,일일권,F,50대,2,179.67,1.62,6980.11,55
202606,00971,971. 역촌 센트레빌 아파트,일일권,M,50대,2,120.84,1.08,4694.76,43
202606,03911,3911. 항동하버리안2단지아파트 후문,정기권,,30대,3,118.95,1.08,4621.12,25
202606,04097,4097.숭미파출소 사거리,일일권,F,20대,13,646.00,5.87,25274.29,234
202606,00103,103. 망원역 2번출구 앞,정기권,M,70대이상,3,168.83,1.52,6558.71,54
202606,03760,3760. 발산역 8번 출구,정기권,,50대,102,3988.19,35.88,154941.88,1249
202606,05089,5089. LG사이언스파크 E10동,일일권,,30대,19,491.73,4.52,19386.66,151
202606,05895,5895.생각공장당산,일일권,,20대,28,1147.80,10.35,44591.88,424
202606,00588,588. 뚝섬 유원지역,일일권(비회원),,기타,23,3457.39,31.17,134319.26,1620
202606,01610,1610. 화랑대역 2번출구 앞,일일권(비회원),,20대,2,38.65,0.35,1899.47,66
202606,01079,1079.강일동입구교차로,가족권,,~10대,1,218.27,1.97,8479.72,61
202606,04306,4306. 서래공원 앞,정기권,F,50대,21,1227.45,11.06,47686.58,458
202606,00834,834. 효창공원앞역 3번출구 앞,정기권,,기타,34,564.81,5.11,21942.32,203
202606,05778,5778. 북위례3,정기권,F,30대,8,485.62,4.38,18866.93,149
202606,00307,307. 서울역사박물관 앞,일일권(3시간),M,20대,1,355.32,3.20,13804.08,78
202606,01288,1288. 문정중교 사거리,일일권(3시간),M,40대,1,174.29,1.57,6771.11,97
202606,00558,558. 성동광진 교육지원청 앞,정기권,F,60대,5,158.52,1.43,6158.50,60
202606,04138,4138. 조일빌딩 앞,정기권,F,40대,44,2665.62,24.43,105211.71,928
202606,03131,3131.연가교 교차로,일일권,F,20대,37,4307.85,38.85,167360.69,1250
202606,00818,818. 숙명여대 입구 교차로,일일권,F,~10대,12,656.78,6.38,27481.38,458
202606,04957,4957. 신명초교 교차로,정기권,F,30대,54,2111.52,19.04,82032.45,771
202606,05877,5877. 문래동 꽃밭정원,정기권,,60대,5,96.70,0.88,3756.52,46
202606,02524,2524.반포쇼핑타운 8동 앞,정기권,,60대,3,359.14,3.24,13952.39,103
202606,04137,4137. 답십리역 4번출구,일일권(비회원),,30대,3,307.44,2.77,11943.64,82
202606,03220,3220.래미안에스티움 앞 (신풍로),일일권,M,30대,12,663.77,5.97,25787.91,228
202606,06171,6171. 월드빌딩 앞,일일권,F,40대,5,155.08,1.39,6024.88,46
202606,01467,1467.sk신내 주유소앞(용마산로),일일권,,20대,6,709.77,6.40,27574.77,168
202606,00428,428. 명보사거리,일일권(3시간),,30대,1,462.43,4.17,17965.43,186
202606,01208,1208. 풍납현대아파트쉼터,정기권,F,30대,275,10337.92,93.22,413025.24,4578
202606,01349,1349. 월계2교 버스정류장 앞,일일권,M,40대,5,243.61,2.19,9464.71,146
